X	Y	Species	Type	Diam	Height
155.862	278.474	CADE	Adult	0.875	0
6.419	278.952	CADE	Adult	10.912	0
159.637	293.872	CADE	Adult	7.462	0
284.912	33.895	CADE	Adult	0.262	0
158.531	164.424	CADE	Adult	34.153	0
247.642	297.798	CADE	Adult	0.692	0
57.084	59.607	CADE	Adult	20.56	0
237.664	75.091	CADE	Adult	15.591	0
41.804	56.331	CADE	Adult	15.508	0
178.74	68.921	CADE	Adult	8.1	0
294.931	89.448	CADE	Adult	8.872	0
260.712	92.631	CADE	Adult	0.559	0
153.409	258.354	CADE	Adult	0.584	0
258.051	62.682	CADE	Adult	0.427	0
42.608	177.684	CADE	Adult	56.307	0
217.239	40.685	CADE	Adult	24.843	0
223.287	291.55	CADE	Adult	7.299	0
216.758	98.694	CADE	Adult	1.489	0
239.4	150.522	CADE	Adult	0.513	0
1.67	153.554	CADE	Adult	46.76	0
38.902	84.533	CADE	Adult	35.872	0
298.851	61.735	CADE	Adult	4.765	0
279.639	229.901	CADE	Adult	5.802	0
12.759	265.681	CADE	Adult	0.54	0
121.727	175.014	CADE	Adult	1.132	0
195.778	268.489	CADE	Adult	18.049	0
226.335	48.28	CADE	Adult	0.604	0
214.063	214.53	CADE	Adult	24.688	0
19.757	52.345	CADE	Adult	23.768	0
76.816	232.268	CADE	Adult	8.36	0
59.203	250.093	CADE	Adult	74.852	0
161.546	118.497	CADE	Adult	21.785	0
121.408	87.839	CADE	Adult	21.228	0
164.478	75.701	CADE	Adult	8.365	0
130.347	290.669	CADE	Adult	49.278	0
136.032	30.489	CADE	Adult	6.658	0
189.31	106.919	CADE	Adult	13.547	0
126.045	17.047	CADE	Adult	17.261	0
75.445	48.018	CADE	Adult	5.128	0
274.526	170.77	CADE	Adult	1.442	0
228.662	298.748	CADE	Adult	0.169	0
276.361	244.422	CADE	Adult	11.056	0
57.463	188.757	CADE	Adult	1.528	0
58.038	225.808	CADE	Adult	4.224	0
236.49	165.687	CADE	Adult	14.928	0
276.605	85.213	CADE	Adult	11.484	0
69.403	297.889	ABCO	Adult	4.771	0
194.16	107.401	ABCO	Adult	5.695	0
59.507	144.418	ABCO	Adult	1.076	0
15.171	149.148	ABCO	Adult	1.424	0
79.271	289.134	ABCO	Adult	1.601	0
259.511	185.598	ABCO	Adult	4.259	0
261.393	214.626	ABCO	Adult	2.447	0
93.421	220.049	ABCO	Adult	13.697	0
258.47	89.284	ABCO	Adult	5.816	0
296.312	130.735	ABCO	Adult	26.974	0
170.675	189.41	ABCO	Adult	9.861	0
232.349	51.021	ABCO	Adult	4.055	0
227.924	71.139	ABCO	Adult	17.876	0
176.9	72.624	ABCO	Adult	4.76	0
68.908	298.448	ABCO	Adult	3.516	0
12.381	66.636	ABCO	Adult	5.829	0
298.665	162.122	ABCO	Adult	39.319	0
292.157	233.86	ABCO	Adult	6.502	0
109.468	2.83	ABCO	Adult	62.566	0
228.877	52.776	ABCO	Adult	2.369	0
171.212	101.387	ABCO	Adult	8.732	0
248.187	170.899	ABCO	Adult	22.709	0
62.812	233.038	ABCO	Adult	3.036	0
278.28	250.378	ABCO	Adult	0.847	0
182.582	183.373	ABCO	Adult	2.264	0
200.294	280.447	ABCO	Adult	12.259	0
146.896	273.125	ABCO	Adult	14.63	0
92.929	54.157	ABCO	Adult	34.981	0
52.177	141.334	ABCO	Adult	3.676	0
189.598	54.563	ABCO	Adult	2.073	0
139.019	97.51	ABCO	Adult	4.476	0
213.414	222.853	ABCO	Adult	25.044	0
201.74	56.913	ABCO	Adult	15.272	0
204.491	170.085	ABCO	Adult	1.97	0
233.233	156.292	ABCO	Adult	5.62	0
292.262	184.947	ABCO	Adult	44.659	0
131.222	144.553	ABCO	Adult	1.791	0
234.73	226.259	ABCO	Adult	0.418	0
52.884	268.027	ABCO	Adult	14.532	0
80.398	172.047	ABCO	Adult	45.877	0
299.341	175.631	ABCO	Adult	1.277	0
268.133	142.42	ABCO	Adult	80.125	0
59.968	58.975	ABCO	Adult	1.866	0
82.349	117.366	ABCO	Adult	3.266	0
134.189	52.124	ABCO	Adult	5.482	0
106.018	55.015	ABCO	Adult	0.309	0
47.07	286.346	ABCO	Adult	28.242	0
277.634	174.516	ABCO	Adult	0.625	0
50.546	65.321	ABCO	Adult	47.809	0
67.055	176.653	ABCO	Adult	4.537	0
59.946	281.162	ABCO	Adult	2.147	0
176.009	172.883	ABCO	Adult	1.81	0
222.869	116.56	ABCO	Adult	2.876	0
224.181	117.775	ABCO	Adult	6.809	0
193.754	103.541	ABCO	Adult	1.725	0
167.09	14.953	ABCO	Adult	5.52	0
291.975	104.619	ABCO	Adult	15.586	0
189.341	5.95	ABCO	Adult	1.072	0
284.46	89.914	ABCO	Adult	3.93	0
244.911	183.555	ABCO	Adult	0.856	0
242.451	156.214	ABCO	Adult	0.283	0
261.443	21.102	ABCO	Adult	3.663	0
290.248	200.672	ABCO	Adult	8.386	0
223.193	157.748	ABCO	Adult	2.742	0
262.549	162.788	ABCO	Adult	29.339	0
60.728	151.376	ABCO	Adult	3.54	0
245.739	218.928	ABCO	Adult	2.072	0
44.912	185.519	ABCO	Adult	85.117	0
77.766	61.606	ABCO	Adult	0.7	0
16.514	91.025	ABCO	Adult	3.222	0
129.545	123.153	ABCO	Adult	6.191	0
256.859	180.975	ABCO	Adult	0.922	0
94.559	298.221	ABCO	Adult	2.793	0
108.669	203.567	ABCO	Adult	9.553	0
58.781	281.851	ABCO	Adult	9.92	0
15.354	123.722	ABCO	Adult	117.624	0
156.591	58.596	ABCO	Adult	8.643	0
40.9	140.03	ABCO	Adult	6.844	0
220.503	189.703	ABCO	Adult	0.237	0
156.191	24.652	ABCO	Adult	0.762	0
40.298	209.382	ABCO	Adult	0.392	0
143.488	84.802	ABCO	Adult	4.073	0
158.817	111.601	ABCO	Adult	0.933	0
156.491	201.532	ABCO	Adult	42.182	0
119.627	233.329	ABCO	Adult	8.338	0
201.368	237.139	ABCO	Adult	5.343	0
71.258	27.138	ABCO	Adult	1.575	0
221.117	87.263	ABCO	Adult	10.958	0
178.696	13.308	ABCO	Adult	1.676	0
65.212	167.482	ABCO	Adult	0.247	0
41.829	262.342	ABCO	Adult	28.39	0
82.1	0.767	ABCO	Adult	3.25	0
115.201	36.911	ABCO	Adult	8.409	0
162.514	118.041	ABCO	Adult	0.7	0
51.874	279.1	ABCO	Adult	8.496	0
104.038	125.424	ABCO	Adult	2.405	0
9.122	77.826	ABCO	Adult	7.012	0
1.105	63.86	ABCO	Adult	3.07	0
230.011	20.211	ABCO	Adult	132.192	0
176.9	199.369	ABCO	Adult	3.107	0
109.525	286.736	ABCO	Adult	3.75	0
82.058	196.877	ABCO	Adult	38.391	0
198.206	264.557	ABCO	Adult	1.497	0
96.84	248.626	ABCO	Adult	6.671	0
68.582	282.764	ABCO	Adult	2.516	0
182.771	69.391	ABCO	Adult	38.926	0
277.951	255.526	ABCO	Adult	17.819	0
146.642	151.144	ABCO	Adult	0.631	0
34.128	270.262	ABCO	Adult	6.922	0
104.846	31.262	ABCO	Adult	1.286	0
210.149	18.599	ABCO	Adult	3.347	0
91.752	61.057	ABCO	Adult	7.963	0
60.014	137.416	ABCO	Adult	1.184	0
0.165	266.602	ABCO	Adult	12.954	0
157.734	86.94	ABCO	Adult	7.905	0
226.463	31.507	ABCO	Adult	6.806	0
94.8	41.2	ABCO	Adult	4.881	0
169.673	47.022	ABCO	Adult	3.441	0
239.117	292.71	ABCO	Adult	12.269	0
263.942	293.352	ABCO	Adult	0.232	0
240.536	1.062	ABCO	Adult	4.611	0
127.381	143.353	ABCO	Adult	38.376	0
265.386	5.943	ABCO	Adult	5.669	0
295.132	228.68	ABCO	Adult	8.238	0
147.141	159.622	ABCO	Adult	51.843	0
4.691	7.765	ABCO	Adult	9.015	0
214.389	227.346	ABCO	Adult	9.059	0
9.33	128.791	ABCO	Adult	1.602	0
187.379	177.113	ABCO	Adult	1.682	0
250.828	67.955	ABCO	Adult	40.568	0
35.878	9.763	ABCO	Adult	0.268	0
80.544	68.993	ABCO	Adult	0.576	0
31.951	199.314	ABCO	Adult	9.447	0
212.497	193.838	ABCO	Adult	5.151	0
176.726	71.454	ABCO	Adult	0.829	0
271.953	219.986	ABCO	Adult	4.623	0
279.926	29.292	ABCO	Adult	1.911	0
212.038	261.351	ABCO	Adult	0.649	0
40.381	176.846	ABCO	Adult	10.357	0
99.92	45.844	ABCO	Adult	2.991	0
197.28	235.355	ABCO	Adult	3.729	0
138.22	276.485	ABCO	Adult	4.197	0
101.274	52.027	ABCO	Adult	2.083	0
120.357	165.908	ABCO	Adult	2.548	0
257.704	51.671	ABCO	Adult	4.848	0
274.881	33.934	ABCO	Adult	2.971	0
130.033	98.907	ABCO	Adult	4.03	0
237.395	199.151	ABCO	Adult	6.139	0
202.5	208.683	ABCO	Adult	16.205	0
103.199	281.616	ABCO	Adult	3.265	0
17.783	270.718	ABCO	Adult	76.38	0
73.707	2.294	ABCO	Adult	4.741	0
148.65	169.043	ABCO	Adult	3.985	0
296.216	192.945	ABCO	Adult	4.049	0
292.381	167.153	ABCO	Adult	17.848	0
97.819	93.53	ABCO	Adult	1.536	0
182.128	136.722	ABCO	Adult	6.282	0
256.471	180.747	ABCO	Adult	1.492	0
55.199	152.499	ABCO	Adult	1.629	0
40.901	55.334	ABCO	Adult	7.97	0
44.065	10.346	ABCO	Adult	10.202	0
169.133	10.963	ABCO	Adult	8.145	0
102.677	213.9	ABCO	Adult	10.574	0
13.302	1.947	ABCO	Adult	28.234	0
219.645	241.646	ABCO	Adult	29.655	0
25.579	249.849	ABCO	Adult	1.081	0
42.747	216.826	ABCO	Adult	1.184	0
174.447	142.597	ABCO	Adult	12.354	0
80.246	177.436	ABCO	Adult	4.804	0
264.722	242.509	ABCO	Adult	2.61	0
249.256	262.411	ABCO	Adult	24.025	0
97.514	55.267	ABCO	Adult	13.828	0
78.963	45.263	ABCO	Adult	9.755	0
7.261	43.602	ABCO	Adult	5.016	0
199.028	282.442	ABCO	Adult	1.785	0
94.133	111.978	ABCO	Adult	25.921	0
152.972	162.561	ABCO	Adult	4.505	0
133.275	100.524	ABCO	Adult	12.383	0
77.556	244.442	ABCO	Adult	2.315	0
279.254	51.309	ABCO	Adult	7.045	0
18.935	229.396	ABCO	Adult	9.839	0
88.383	266.438	ABCO	Adult	1.091	0
96.094	44.692	ABCO	Adult	0.975	0
